Ville,Température actuelle,Température ressentie,Température minimale,Température maximale,Pression atmosphérique,Humidité,Vitesse du vent,Direction du vent,Lever du soleil,Coucher du soleil
Palais-Royal,10.24,8.7,9.49,11.57,1025,53,6.69,50,2023-04-03 07:24,2023-04-03 20:22
Marseille,19.64,18.63,16.17,20.35,1011,37,5.36,241,2023-04-03 07:17,2023-04-03 20:05
Vieux Lyon,9.13,5.62,7.94,10.55,1019,80,7.72,350,2023-04-03 07:17,2023-04-03 20:10
Toulouse,11.94,10.81,11.54,12.07,1021,62,5.66,300,2023-04-03 07:32,2023-04-03 20:21
Nice,19.28,18.46,16.94,20.79,1010,46,5.14,190,2023-04-03 07:09,2023-04-03 19:58
Nantes,8.06,5.11,7.9,8.06,1025,76,5.14,40,2023-04-03 07:41,2023-04-03 20:36
Montpellier,17.87,16.68,17.27,18.03,1013,37,6.69,340,2023-04-03 07:23,2023-04-03 20:12
Arrondissement de Strasbourg,8.12,4.8,7.68,9.43,1025,53,6.17,80,2023-04-03 07:03,2023-04-03 20:00
Bordeaux,13.21,12.1,13.21,15.25,1022,58,3.09,40,2023-04-03 07:40,2023-04-03 20:31
Lille,10.72,9.15,8.84,12.18,1027,50,6.17,70,2023-04-03 07:20,2023-04-03 20:21
Rennes,8.88,6.83,8.79,10.8,1026,66,3.6,90,2023-04-03 07:41,2023-04-03 20:38
Reims,10.0,7.03,10.0,10.7,1026,57,6.69,60,2023-04-03 07:17,2023-04-03 20:16
Saint-Etienne,8.17,4.53,8.17,8.2,1019,81,7.2,340,2023-04-03 07:19,2023-04-03 20:11
Toulon,17.67,16.95,16.15,22.41,1010,56,5.14,220,2023-04-03 07:15,2023-04-03 20:03
Grenoble,9.67,8.31,7.74,12.22,1017,88,2.68,20,2023-04-03 07:14,2023-04-03 20:06
Larrey,6.86,3.19,6.8,9.01,1022,76,6.17,20,2023-04-03 07:15,2023-04-03 20:10
Angers,10.6,9.44,8.16,10.6,1024,66,4.83,51,2023-04-03 07:37,2023-04-03 20:33
Nîmes,16.96,15.81,15.63,17.99,1014,42,8.75,10,2023-04-03 07:21,2023-04-03 20:10
Villeurbanne,8.99,5.17,7.98,10.59,1019,81,8.75,340,2023-04-03 07:17,2023-04-03 20:09
Clermont-Ferrand,6.51,3.16,6.51,6.51,1021,93,5.14,360,2023-04-03 07:24,2023-04-03 20:17
